,Unnamed: 0,Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
90,90,Do It Right,"Martin Solveig,Tkay Maidza",Do It Right,213211,False,61,5.0,0.0,4.0,0.0595,0.805,0.763,0.0543,0.0774,-4.337,0.0703,0.595,125.056,Party Tracks
91,91,On My Way - Mercer Remix,"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",On My Way (Mercer Remix),319159,False,0,0.0,1.0,4.0,0.000214,0.602,0.963,0.0184,0.179,-3.04,0.355,0.228,128.02200000000002,Party Tracks
92,92,Escarole,Cash Cash,"Blood, Sweat & 3 Years",240773,True,27,11.0,1.0,4.0,0.00165,0.6579999999999999,0.938,0.0379,0.851,-4.305,0.0589,0.645,124.956,Party Tracks
93,93,How Deep Is Your Love - Chris Lake Remix,"Calvin Harris,Disciples,Chris Lake",How Deep Is Your Love (Remixes),306226,False,58,4.0,0.0,4.0,0.00224,0.727,0.85,0.00843,0.412,-4.9910000000000005,0.0425,0.28,121.973,Party Tracks
94,94,Delirious (Boneless) (feat. Kid Ink),"Steve Aoki,Chris Lake,Tujamo,Kid Ink",Neon Future I,223413,False,60,8.0,0.0,4.0,0.0195,0.706,0.912,0.0,0.232,-4.44,0.0565,0.925,128.004,Party Tracks
95,95,All We Need feat. Shy Girls - Dzeko & Torres Remix Radio Edit,ODESZA,All We Need feat. Shy Girls (Dzeko & Torres Remix),191250,False,0,9.0,1.0,4.0,0.0244,0.581,0.954,0.00413,0.223,-3.3360000000000003,0.081,0.616,127.959,Party Tracks
96,96,Let You Go - Radio Edit,"The Chainsmokers,Great Good Fine Ok",Let You Go (Radio Edit),218973,False,55,5.0,1.0,4.0,0.27,0.598,0.882,0.0,0.0793,-2.894,0.0954,0.25,125.979,Party Tracks
97,97,Need You,"FTampa,Sex Room",Need You,212509,False,27,8.0,0.0,4.0,0.625,0.636,0.833,0.0066,0.14,-4.504,0.0452,0.8170000000000001,127.991,Party Tracks
98,98,What You Waiting For,"Gazzo,SUGARWHISKEY",What You Waiting For,231173,False,37,11.0,1.0,4.0,0.0181,0.626,0.916,1.11e-05,0.42,-2.555,0.0726,0.609,130.061,Party Tracks
99,99,Don't Stop,Dave Winnel,Don't Stop,179250,False,24,7.0,1.0,4.0,0.0223,0.685,0.97,0.0301,0.0901,-3.849,0.084,0.7140000000000001,125.989,Party Tracks
100,100,Body Dancing,"Qulinez,Belle Humble",Body Dancing,198468,False,29,1.0,1.0,4.0,0.00321,0.5710000000000001,0.8759999999999999,7.1e-06,0.104,-7.403,0.0462,0.319,128.005,Party Tracks
101,101,Break Through The Silence - Radio Edit,"Martin Garrix,Matisse & Sadko",Break Through The Silence EP,204772,False,0,9.0,1.0,4.0,0.00289,0.573,0.95,0.00119,0.299,-5.167000000000002,0.0666,0.153,128.013,Party Tracks
102,102,Poison,Martin Garrix,Poison,248447,False,0,7.0,0.0,4.0,0.00429,0.502,0.7559999999999999,0.769,0.377,-6.1179999999999986,0.0363,0.062,128.125,Party Tracks
103,103,Together As One - Radio Edit,Dropgun,Together As One,174257,False,0,5.0,0.0,4.0,0.099,0.409,0.979,0.0029100000000000003,0.128,-1.508,0.0501,0.5820000000000001,127.609,Party Tracks
104,104,Together,The Magician,Together,172144,False,0,10.0,0.0,4.0,0.0978,0.7190000000000001,0.853,8.58e-05,0.113,-3.938,0.0356,0.443,121.996,Party Tracks
105,105,Bad (feat. Vassy) - Radio Edit,"David Guetta,Showtek,VASSY",Listen (Deluxe),170625,False,50,5.0,0.0,4.0,0.00125,0.614,0.972,0.0186,0.328,-3.927,0.08800000000000001,0.411,127.966,Party Tracks
106,106,Where Are Ü Now (with Justin Bieber) - Marshmello Remix,"Jack Ü,Skrillex,Diplo,Justin Bieber,Marshmello",Where Are Ü Now (with Justin Bieber) [Remixes],206197,False,51,8.0,1.0,4.0,0.00266,0.5720000000000001,0.863,0.000307,0.127,-4.128,0.0424,0.475,141.91899999999995,Party Tracks
107,107,The Universe - Radio Edit,Lush & Simon,The Universe,186562,False,33,6.0,1.0,4.0,0.12,0.514,0.884,0.0,0.389,-1.873,0.05,0.469,127.916,Party Tracks
108,108,Something Better,"Audien,Lady A",Something Better,212619,False,7,2.0,1.0,4.0,0.0692,0.5489999999999999,0.835,0.0,0.212,-2.632,0.0656,0.423,126.08,Party Tracks
109,109,Classic (feat. Fetty Wap & POWERS ),"The Knocks,Fetty Wap,POWERS",Classic (feat. Fetty Wap & POWERS),219388,False,40,2.0,1.0,4.0,0.00574,0.627,0.938,6.5e-06,0.0478,-2.535,0.0384,0.5870000000000001,101.981,Party Tracks
110,110,Never Sleep Alone (feat. Tess Comrie) - CID Remix,"Kaskade,Tess Comrie,CID",Never Sleep Alone (feat. Tess Comrie) [Remixes],306785,False,30,9.0,1.0,4.0,0.00735,0.725,0.882,0.257,0.233,-5.205,0.0595,0.655,125.984,Party Tracks
111,111,Desire - Gryffin Remix,"Years & Years,Gryffin",We Are Your Friends (Music From The Original Motion Picture),268853,False,51,10.0,0.0,4.0,0.0623,0.55,0.8540000000000001,1.49e-06,0.152,-5.455,0.0488,0.38,122.038,Party Tracks
112,112,Gold Dust - East & Young Remix,"Galantis,East & Young",Gold Dust (Remixes),293157,False,41,2.0,1.0,4.0,0.0014199999999999998,0.667,0.861,0.00988,0.0613,-4.53,0.0482,0.264,126.0,Party Tracks
113,113,Eternity - Radio Edit,"Tim Mason,Marrs TV,Harrison",Eternity,215238,False,0,7.0,0.0,4.0,0.0044,0.568,0.807,4.8e-06,0.0979,-4.967,0.0534,0.384,126.021,Party Tracks
114,114,Another You - CID Remix,"Armin van Buuren,Mr. Probz,CID",Another You (CID Remix),179047,False,29,9.0,1.0,4.0,0.366,0.5870000000000001,0.929,0.011,0.253,-2.4730000000000003,0.0534,0.5329999999999999,126.021,Party Tracks
115,115,Dreams - Lost Kings Remix,Life of Dillon,Prologue (Remixes),206013,False,42,7.0,1.0,4.0,0.281,0.623,0.89,0.0,0.118,-3.832,0.0377,0.665,127.978,Party Tracks
116,116,Hands,"Gareth Emery,Alastor,London Thor",Hands,189843,False,41,7.0,1.0,4.0,0.0543,0.5589999999999999,0.672,0.000243,0.281,-6.102,0.045,0.306,128.04399999999998,Party Tracks
117,117,Lovin,"Breathe Carolina,APEK,Neon Hitch",Lovin,221591,False,25,8.0,1.0,4.0,0.0175,0.521,0.841,0.0,0.17,-4.041,0.0709,0.446,127.986,Party Tracks
118,118,Earthquake - Radio Edit,"Disco Fries,Command Sisters",Earthquake,225714,False,29,9.0,0.0,4.0,0.0775,0.61,0.8059999999999999,0.0,0.42,-2.99,0.0574,0.522,125.999,Party Tracks
119,119,City Lights,Avicii,Stories,388946,False,48,7.0,0.0,4.0,0.00975,0.8,0.821,0.0838,0.297,-5.9620000000000015,0.224,0.417,128.013,Party Tracks
120,120,One Click Headshot - Original Mix,Feed Me,Feed Me's Escape From Electric Mountain,287004,False,0,2.0,1.0,4.0,0.000364,0.677,0.91,0.00842,0.35,-4.628,0.063,0.504,109.988,Party Tracks
121,121,Find a Way (Anevo Remix) [feat. Rudy],"Dirty South,Rudy",Find a Way (Anevo Remix) [feat. Rudy],244374,False,31,7.0,0.0,4.0,0.0148,0.716,0.833,0.0942,0.0787,-4.0360000000000005,0.0443,0.528,127.006,Party Tracks
122,122,Renaissance (feat. Clairity),"Steve James,Clairity",Renaissance (feat. Clairity),178995,False,0,1.0,1.0,5.0,0.523,0.546,0.466,0.0008230000000000001,0.0685,-8.337,0.0478,0.5760000000000001,119.584,Party Tracks
123,123,Landmines,"Pierce Fulton,J Hart",Landmines,196874,False,32,8.0,1.0,4.0,0.0266,0.48,0.853,0.0,0.118,-3.508,0.0753,0.311,127.94,Party Tracks
