,Unnamed: 0,Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
58,58,Say It (feat. Tove Lo),"Flume,Tove Lo",Say It,262521,True,0,3.0,0.0,4.0,0.0668,0.598,0.532,3.22e-06,0.0617,-6.832999999999998,0.0295,0.261,74.96300000000002,Workout Tracks
59,59,Blow Your Mind (Mwah),Dua Lipa,Blow Your Mind (Mwah),178583,True,71,2.0,0.0,4.0,0.0188,0.654,0.7959999999999999,0.0,0.0948,-4.761,0.122,0.491,108.854,Workout Tracks
60,60,Hymn for the Weekend - Seeb Remix,"Coldplay,Seeb",Hymn for the Weekend (Seeb Remix),212647,False,68,0.0,0.0,4.0,0.00868,0.565,0.8490000000000001,4.68e-06,0.12,-3.516,0.0517,0.4270000000000001,102.034,Workout Tracks
61,61,Alarm,Anne-Marie,Alarm,205593,True,62,0.0,1.0,4.0,0.0812,0.7559999999999999,0.589,0.0,0.17600000000000002,-5.093,0.232,0.8109999999999999,146.928,Workout Tracks
62,62,Cold Water,"Major Lazer,Justin Bieber,MØ",Cold Water,185360,False,68,6.0,0.0,4.0,0.0736,0.608,0.7979999999999999,0.0,0.156,-5.092,0.0432,0.501,92.943,Workout Tracks
63,63,Capsize,"FRENSHIP,Emily Warren",Capsize,237760,False,1,5.0,0.0,4.0,0.042,0.6809999999999999,0.708,0.14,0.682,-6.019,0.0304,0.35600000000000004,92.993,Workout Tracks
64,64,Final Song,MØ,Final Song,235826,False,68,1.0,0.0,4.0,0.014,0.695,0.672,8.44e-05,0.0756,-6.109,0.0345,0.245,104.988,Workout Tracks
65,65,Starving,"Hailee Steinfeld,Grey,Zedd",Starving,181880,False,76,4.0,1.0,4.0,0.378,0.728,0.616,0.0,0.105,-4.238,0.0645,0.508,99.962,Workout Tracks
66,66,Summer Heat - Radio Mix,Solidisco,Summer Heat,174146,False,29,0.0,0.0,4.0,0.00555,0.7340000000000001,0.6629999999999999,0.0,0.0755,-5.2970000000000015,0.0331,0.5770000000000001,122.886,Workout Tracks
67,67,Closer,"The Chainsmokers,Halsey",Closer,244960,False,84,8.0,1.0,4.0,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,0.6609999999999999,95.01,Workout Tracks
68,68,LUV,Tory Lanez,LUV,228026,True,0,11.0,0.0,4.0,0.0121,0.524,0.505,1.28e-06,0.225,-8.256,0.275,0.306,189.978,Workout Tracks
69,69,in my miNd,Maty Noyes,In My Mind,212026,False,0,0.0,0.0,4.0,0.461,0.764,0.631,0.0,0.0413,-3.814,0.0251,0.76,102.074,Workout Tracks
70,70,This Is What You Came For (feat. Rihanna),"Calvin Harris,Rihanna",This Is What You Came For (feat. Rihanna),222160,False,78,9.0,0.0,4.0,0.199,0.63,0.928,0.124,0.14800000000000002,-2.787,0.0331,0.465,123.963,Workout Tracks
71,71,Come First,Terror Jr,Come First,171789,False,0,5.0,1.0,4.0,0.123,0.7490000000000001,0.198,0.000451,0.0866,-11.747,0.32299999999999995,0.35600000000000004,95.084,Workout Tracks
72,72,Cool Girl,Tove Lo,Cool Girl,197815,True,0,9.0,0.0,4.0,0.35100000000000003,0.667,0.72,4.26e-06,0.138,-7.026,0.11,0.242,101.964,Workout Tracks
73,73,Perfect Strangers,"Jonas Blue,JP Cooper",Perfect Strangers,196613,False,3,1.0,1.0,4.0,0.394,0.731,0.8220000000000001,0.0,0.28800000000000003,-5.305,0.0459,0.708,118.021,Workout Tracks
74,74,Don't Let Me Down,"The Chainsmokers,Daya",Don't Let Me Down,208373,False,79,11.0,1.0,4.0,0.157,0.532,0.8690000000000001,0.00508,0.136,-5.0939999999999985,0.172,0.422,159.803,Workout Tracks
75,75,Fresh Eyes,Andy Grammer,Fresh Eyes,198001,False,0,0.0,1.0,4.0,0.562,0.8220000000000001,0.544,2.4e-05,0.14400000000000002,-6.7970000000000015,0.0332,0.861,122.047,Workout Tracks
76,76,Too Good,"Drake,Rihanna",Views,263373,True,56,7.0,1.0,4.0,0.0484,0.7929999999999999,0.653,4.91e-05,0.1,-7.838999999999999,0.103,0.393,117.993,Workout Tracks
77,77,Whole Heart,"Gryffin,Bipolar Sunshine",Whole Heart,225200,False,57,9.0,1.0,4.0,0.028,0.501,0.648,1.26e-05,0.153,-7.172999999999999,0.0696,0.191,163.834,Workout Tracks
78,78,Aloha,"Møme,Merryn Jeann",Aloha,218400,False,47,10.0,0.0,4.0,0.195,0.6,0.726,8.22e-05,0.115,-5.988,0.166,0.395,100.075,Workout Tracks
79,79,False Alarm,"Matoma,Becky Hill",False Alarm,224271,False,44,5.0,0.0,4.0,0.006809999999999999,0.643,0.732,4.57e-05,0.0606,-6.7620000000000005,0.0294,0.181,102.979,Workout Tracks
80,80,Side To Side,"Ariana Grande,Nicki Minaj",Dangerous Woman,226160,True,74,6.0,0.0,4.0,0.0528,0.65,0.736,0.0,0.235,-5.84,0.229,0.613,159.173,Workout Tracks
81,81,The Ocean (feat. Shy Martin),"Mike Perry,SHY Martin",The Ocean (feat. Shy Martin),183414,False,73,5.0,1.0,4.0,0.0225,0.632,0.575,1.81e-06,0.104,-6.478,0.029,0.188,90.037,Workout Tracks
82,82,Body Say,Demi Lovato,Body Say,193893,False,61,5.0,0.0,4.0,0.00415,0.628,0.74,0.0,0.277,-4.836,0.0358,0.257,86.98299999999998,Workout Tracks
83,83,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),230226,False,73,0.0,1.0,4.0,0.0285,0.573,0.7390000000000001,0.0,0.111,-5.74,0.129,0.451,97.085,Workout Tracks
84,84,Kings of Summer - Single Version,"ayokay,Quinn XCII",Kings of Summer (feat. Quinn XCII),207880,False,61,11.0,1.0,4.0,0.222,0.7340000000000001,0.6609999999999999,2.18e-06,0.201,-6.705,0.0356,0.253,134.93,Workout Tracks
85,85,This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs,Cookin' On 3 Burners",This Girl (Kungs Vs. Cookin' On 3 Burners),195561,False,0,3.0,1.0,4.0,0.0865,0.7859999999999999,0.69,9.03e-05,0.238,-4.665,0.04,0.485,122.006,Workout Tracks
86,86,Invitation (feat. Yade Lauren),"Yellow Claw,Yade Lauren",Invitation (feat. Yade Lauren),152460,False,0,5.0,0.0,4.0,0.0978,0.598,0.8420000000000001,7.670000000000001e-05,0.644,-5.612,0.0815,0.591,103.921,Workout Tracks
87,87,Into You,Ariana Grande,Dangerous Woman,244453,False,75,9.0,1.0,4.0,0.0162,0.623,0.7340000000000001,1.75e-06,0.145,-5.948,0.107,0.37,107.853,Workout Tracks
88,88,Kids,OneRepublic,Kids,240146,False,0,2.0,1.0,4.0,0.0144,0.599,0.733,0.0,0.34700000000000003,-6.072,0.0415,0.214,100.0,Workout Tracks
89,89,The Half,"DJ Snake,Jeremih,Young Thug,Swizz Beatz",Encore,217373,True,54,11.0,1.0,4.0,0.0112,0.705,0.695,0.0,0.691,-3.359,0.113,0.44,169.987,Workout Tracks
90,90,Fuck Apologies. (feat. Wiz Khalifa),"JoJo,Wiz Khalifa",Fuck Apologies. (feat. Wiz Khalifa),195413,True,34,0.0,1.0,4.0,0.0288,0.726,0.59,0.0,0.166,-6.805,0.135,0.378,95.857,Workout Tracks
91,91,Alone,Marshmello,Alone,273802,False,4,2.0,1.0,4.0,0.0244,0.636,0.953,0.0164,0.108,-3.74,0.0353,0.397,142.011,Workout Tracks
92,92,Something Wrong,Timeflies,Something Wrong,234988,True,0,7.0,0.0,4.0,0.0441,0.7120000000000001,0.775,0.0,0.185,-5.452000000000001,0.298,0.508,94.928,Workout Tracks
93,93,Be As You Are - JordanXL Remix,"Mike Posner,JordanXL","At Night, Alone.",203533,False,43,2.0,1.0,4.0,0.062,0.67,0.6859999999999999,0.0,0.21600000000000005,-5.4860000000000015,0.0509,0.208,170.037,Workout Tracks
94,94,Nervous - The Ooh Song: Mark McCabe Remix,"Gavin James,Mark McCabe",Nervous (The Ooh Song: Mark McCabe Remix),195194,False,48,7.0,1.0,4.0,0.0732,0.4320000000000001,0.8740000000000001,6.14e-06,0.371,-5.558,0.0462,0.374,103.85,Workout Tracks
95,95,WILD - Young Bombs Remix,"Troye Sivan,Alessia Cara,Young Bombs",WILD (feat. Alessia Cara) [Young Bombs Remix],202778,False,0,10.0,1.0,4.0,0.0681,0.522,0.8340000000000001,0.0,0.126,-2.752,0.0347,0.34600000000000003,100.005,Workout Tracks
96,96,Burn Brighter,Pavlova,Burn Brighter,212666,False,21,8.0,0.0,4.0,0.0296,0.731,0.81,0.00369,0.528,-4.6530000000000005,0.108,0.373,127.996,Workout Tracks
97,97,Mercy,Shawn Mendes,Mercy,208733,False,0,11.0,0.0,4.0,0.131,0.409,0.6859999999999999,0.0,0.11,-4.893,0.177,0.354,147.929,Workout Tracks
98,98,Broccoli,"Shelley FKA DRAM,Lil Yachty",Broccoli,225205,True,66,8.0,1.0,4.0,0.236,0.8859999999999999,0.525,0.0,0.057,-7.39,0.132,0.708,145.99,Workout Tracks
99,99,Can't Hide,"Whethan,Ashe",Can't Hide feat. Ashe,184000,False,0,2.0,0.0,4.0,0.0429,0.61,0.69,6.759999999999999e-05,0.166,-2.656,0.091,0.318,179.94400000000005,Workout Tracks
100,100,Miss You,James Hersey,Miss You,206099,False,0,5.0,0.0,4.0,0.0929,0.871,0.595,0.004220000000000001,0.107,-7.6179999999999986,0.0552,0.623,120.011,Workout Tracks
101,101,LIFTED,CL,LIFTED,175464,False,0,0.0,1.0,4.0,0.00157,0.371,0.672,0.0,0.17600000000000002,-4.495,0.19,0.274,181.064,Workout Tracks
102,102,Bikini Body,"Dawin,R. City",Sunday,227240,False,47,11.0,1.0,4.0,0.0432,0.645,0.795,0.0,0.0491,-4.914,0.0985,0.779,197.683,Workout Tracks
103,103,Arigato,Julie Bergan,Arigato,173160,False,51,11.0,0.0,4.0,0.00399,0.403,0.551,1.24e-05,0.528,-5.615,0.0611,0.315,75.704,Workout Tracks
104,104,Higher,Carly Rae Jepsen,EMOTION SIDE B,234413,False,42,1.0,0.0,4.0,0.00905,0.647,0.8740000000000001,0.000276,0.373,-4.565,0.0575,0.444,113.973,Workout Tracks
105,105,Broken,"Tritonal,Jenaux,Adam Lambert",Broken,207272,False,33,7.0,1.0,4.0,0.00836,0.591,0.652,1.5e-06,0.222,-7.347,0.0339,0.231,110.006,Workout Tracks
106,106,"All of Me (feat. Logic, ROZES)","Big Gigantic,Logic,ROZES",Brighter Future,228169,False,56,10.0,0.0,4.0,0.00189,0.628,0.877,0.0,0.228,-3.016,0.041,0.199,142.034,Workout Tracks
107,107,Be Like You,CVBZ,Be Like You,179792,False,0,5.0,1.0,4.0,0.09,0.519,0.8859999999999999,0.0,0.16,-2.167,0.244,0.42,94.829,Workout Tracks
108,108,Crazy Love,"Audien,Deb’s Daughter",Crazy Love,174545,False,50,11.0,0.0,4.0,0.318,0.691,0.883,2.45e-05,0.0742,-1.3259999999999998,0.0488,0.606,109.982,Workout Tracks
109,109,1st Day out Tha Feds,Gucci Mane,1st Day out Tha Feds,184386,True,38,4.0,1.0,4.0,0.004220000000000001,0.8490000000000001,0.446,8.55e-05,0.109,-8.01,0.0534,0.624,138.01,Workout Tracks
110,110,Panda,Desiigner,Panda,247866,True,68,10.0,0.0,4.0,0.0292,0.685,0.731,0.0,0.369,-5.502999999999999,0.414,0.266,145.245,Workout Tracks
111,111,One Dance,"Drake,WizKid,Kyla",Views,173986,False,65,1.0,1.0,4.0,0.007759999999999999,0.792,0.625,0.00188,0.329,-5.609,0.0536,0.37,103.967,Workout Tracks
112,112,All the Above (feat. T-Pain),"Maino,T-Pain",All The Above (feat. T-Pain),319692,True,46,8.0,1.0,4.0,0.0704,0.389,0.863,0.0,0.208,-4.341,0.166,0.332,149.144,Workout Tracks
113,113,Trophies,"Young Money,Drake",Rise Of An Empire (Deluxe Edition),188320,True,72,1.0,1.0,4.0,0.155,0.746,0.687,0.0,0.13699999999999998,-7.475,0.382,0.28300000000000003,143.931,Workout Tracks
114,114,Remember the Name (feat. Styles of Beyond),"Fort Minor,Styles Of Beyond",The Rising Tied (Deluxe Edition),230493,True,56,8.0,1.0,4.0,0.0583,0.688,0.835,2.87e-06,0.0795,-4.162,0.0911,0.88,84.85799999999998,Workout Tracks
